rotation in degrees,displacement in mm,Force in MilliNewtons,Fit spring constant in Newtons per Meter,Raw spring constant in Newtons per Meter,Spring Potential Energy in Joules,Fit Torque in Nmm
19.0809,46.2612,20269.1497815384,898.958218500615,1202.89751532753,NaN,21.3159461538461
19.0809,51.3785,23790.8248915384,949.0640818043,1339.15530608949,NaN,23.9615846153846
9.0882,0.2347,-2348.60453307692,324.456020498633,621.987530325085,NaN,-16.1632230769231
9.0882,5.3233,-106.741088461538,-174.929123515091,-165.137760206552,NaN,-9.69851538461539
9.0882,10.441,2207.55336846154,416.742047084651,412.969071832124,NaN,-4.05664615384615
9.0882,15.5593,4473.23689,630.56022530018,595.252500806714,NaN,0.938423076923074
9.0882,20.6793,6806.02521153846,1042.30428904339,1026.86743697479,NaN,5.46636923076923
9.0882,25.8007,9248.5418323077,940.873108233127,1013.22705275044,NaN,9.60919230769231
9.0882,30.9173,11858.7726453846,1005.70309197104,1165.47250282395,NaN,13.2120307692308
9.0882,36.0349,14427.9949484615,1045.81070099013,1202.66072293045,NaN,16.4353615384615
9.0882,41.1498,17200.8463053846,837.688690308966,1052.08462780558,NaN,19.2719153846154
9.0882,46.2684,20370.0197646154,920.847935534829,1171.60735483872,NaN,21.8057769230769
9.0882,51.3857,23885.4870438461,1007.07926010419,1371.83377483443,NaN,24.2372230769231
-0.9036,0.2344,-2469.76698461539,631.195408321205,1127.11525149604,NaN,-12.1142384615385
-0.9036,5.3214,-65.6198507692308,-55.3515415454805,-68.5662255930289,NaN,-6.39409230769231
-0.9036,10.4395,2157.09596461538,331.959893844059,309.009801388665,NaN,-1.35029230769231
-0.9036,15.5594,4444.77048307692,390.853191208735,413.960032258063,NaN,3.25413076923077
-0.9036,20.6797,6812.94599,839.198252999103,822.128437550492,NaN,7.48993846153846
-0.9036,25.8007,9230.79630076923,848.810799467341,898.083333333331,NaN,11.2400615384615
-0.9036,30.9213,11781.6875892308,1087.00653065993,1171.96540819619,NaN,14.4945692307692
-0.9036,36.0367,14442.1139492308,984.479973890971,1154.69857972886,NaN,17.4368538461538
-0.9036,41.1528,17204.6250553846,872.676285011355,1053.05478766349,NaN,19.9868153846154
-0.9036,46.2721,20376.35187,887.564912536555,1097.98543313437,NaN,22.3873615384615
-0.9036,51.3884,24180.6794684615,1324.83366097496,1651.63576158939,NaN,24.8251769230769
-10.8945,0.2344,-2618.27654076923,1219.71750370416,1911.77226265567,NaN,-8.39154615384616
-10.8945,5.321,-141.927770769231,63.2653963868315,196.645764079393,NaN,-3.54387692307692
-10.8945,10.4403,2152.08016923077,351.253349739325,360.732628350017,NaN,1.2684076923077
-10.8945,15.5601,4434.19100615385,575.691789306506,563.975512179384,NaN,5.43153846153846
-10.8945,20.6806,6833.32703615385,602.609438026798,649.491662627241,NaN,9.20982307692307
-10.8945,25.7985,9294.8215923077,834.50093015054,900.920651823172,NaN,12.5715461538462
-10.8945,30.9189,11818.2565238461,863.937006206869,988.157679896746,NaN,15.6681307692308
-10.8945,36.0368,14477.9264,842.90021611947,974.88383088591,NaN,18.2845384615384
-10.8945,41.1542,17286.2469607692,889.180779474921,1043.68676138198,NaN,20.6514615384615
-10.8945,46.2707,20501.3712361539,1015.98581121544,1229.62931785196,NaN,22.9708
-10.8945,51.3884,24898.7582276923,1685.56940331841,1907.25621770026,NaN,25.7361461538462
-20.8854,0.2342,-2849.08834,2153.2200073138,3071.61317917206,NaN,-4.38488461538462
-20.8854,5.3237,-116.191424615384,371.376380887763,473.512153001937,NaN,-0.81630769230769
-20.8854,10.4412,2222.82094230769,367.106199772827,442.101937046004,NaN,3.43936153846154
-20.8854,15.5599,4485.42510538461,379.126873309342,414.877560896919,NaN,7.36295384615384
-20.8854,20.6802,6795.73466153846,585.819792298893,595.915462918081,NaN,10.8783538461538
-20.8854,25.8013,9255.51575846154,749.324749329122,784.081790322583,NaN,13.9830076923077
-20.8854,30.9179,11746.8246307692,818.266053502613,877.920526060993,NaN,16.7318538461538
-20.8854,36.0358,14352.6566576923,951.881242887981,1008.0015975472,NaN,19.1693230769231
-20.8854,41.1505,17215.6534930769,871.388134248415,987.343193928633,NaN,21.3391
-20.8854,46.2665,20584.9475876923,1083.74968103031,1219.52795161291,NaN,23.4930538461538
-20.8854,51.3826,25697.9453738461,1923.48806931572,2150.08977878249,NaN,27.2332076923077
