,x_deg,x_moteus_deg,y,l,mode,u_ff,t_s
75,12.533569335937495,-47.4664306640625,0.1210315100990032,0.17896848990099679,2,0.1513841027077435,3925.08682439
76,13.187255859374996,-46.812744140625,0.12034193943828757,0.1796580605617124,2,0.1268824511308822,3925.088100067
77,13.813476562499998,-46.1865234375,0.11968716542900926,0.18031283457099073,2,0.10149615816906282,3925.089345578
78,14.395751953124996,-45.604248046875,0.11908348747015562,0.18091651252984436,2,0.07728382401219552,3925.090580959
79,14.939575195312493,-45.0604248046875,0.11852418118611452,0.18147581881388547,2,0.052671160418918506,3925.091800211
80,15.488891601562493,-44.5111083984375,0.11796366754016359,0.18203633245983641,2,0.027876511379371693,3925.09305674
81,15.994262695312495,-44.0057373046875,0.11745195707057474,0.18254804292942525,2,0.003188203058093475,3925.094286084
82,16.466674804687493,-43.5333251953125,0.11697706755055215,0.18302293244944784,2,-0.02138733732678255,3925.09545591
83,16.889648437499996,-43.1103515625,0.11655471382573121,0.18344528617426878,2,-0.04484257375650569,3925.096692569
84,17.323608398437496,-42.6763916015625,0.11612418597677639,0.18387581402322362,2,-0.06976074766866264,3925.097882117
85,17.697143554687496,-42.3028564453125,0.11575587965032891,0.18424412034967108,2,-0.09427667280952645,3925.099100388
86,18.05419921875,-41.94580078125,0.11540579452434883,0.18459420547565114,2,-0.11852865577526339,3925.100393232
87,18.394775390624996,-41.605224609375,0.11507366781225899,0.18492633218774102,2,-0.14444726145282039,3925.101640224
88,18.6859130859375,-41.3140869140625,0.11479114969073827,0.1852088503092617,2,-0.16926251784797197,3925.102852772
89,18.938598632812493,-41.0614013671875,0.11454699063045397,0.185453009369546,2,-0.1932801551650622,3925.10406919
90,19.158325195312496,-40.8416748046875,0.1143354691746284,0.1856645308253716,2,-0.21794906700616856,3925.105289572
91,19.306640624999996,-40.693359375,0.1141931085056651,0.18580689149433488,2,-0.24183615394455385,3925.106482027
92,19.449462890624993,-40.550537109375,0.1140563378656538,0.18594366213434618,2,-0.26554190262131705,3925.10767939
93,19.542846679687493,-40.4571533203125,0.1139670794003988,0.1860329205996012,2,-0.28987434011643304,3925.108968382
94,19.608764648437493,-40.3912353515625,0.11390415367807652,0.18609584632192347,2,-0.3146109778340864,3925.110241615
95,19.630737304687496,-40.3692626953125,0.1138831932009655,0.18611680679903447,2,-0.3399188239376814,3925.111468478
96,19.603271484374996,-40.396728515625,0.11390939495088095,0.18609060504911903,2,-0.3639329983025099,3925.112734118
97,19.559326171874996,-40.440673828125,0.11395134174213628,0.1860486582578637,2,-0.38793582441690877,3925.114006925
